City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,New Norfolk,AU,-42.7826,147.0587,56.7,65,7,4.41,clear sky
300,Uige,AO,-7.6087,15.0613,61.65,87,44,2.8,scattered clouds
301,Ternate,ID,0.8,127.4,83.5,72,36,9.04,scattered clouds
302,Nhulunbuy,AU,-12.2333,136.7667,77.61,53,96,17.27,overcast clouds
303,Bushenyi,UG,-0.5853,30.2114,68.2,48,98,12.53,overcast clouds
304,Buraydah,SA,26.326,43.975,93.65,9,57,7.47,broken clouds
305,Hammerfest,NO,70.6634,23.6821,54.05,94,75,3.44,broken clouds
306,Cap Malheureux,MU,-19.9842,57.6142,68.47,79,51,7.0,light rain
307,Santana,BR,-0.0583,-51.1817,77.18,100,0,1.14,clear sky
308,Solvychegodsk,RU,61.3305,46.9156,73.06,51,16,8.01,few clouds
309,Cerro Punta,PA,8.85,-82.5667,53.51,94,100,1.86,overcast clouds
310,Beyneu,KZ,45.3167,55.2,92.68,25,90,24.14,overcast clouds
311,Tarko-Sale,RU,64.9225,77.785,52.97,58,100,5.5,overcast clouds
312,Port Hedland,AU,-20.3167,118.5667,82.45,51,1,14.97,clear sky
313,Calhoun,US,42.2506,-85.0005,69.85,83,40,0.0,scattered clouds
314,San Cristobal,VE,7.7669,-72.225,73.58,91,82,2.95,broken clouds
315,Tamworth,GB,52.634,-1.6959,60.84,88,100,1.99,light rain
316,Aktash,RU,50.3,87.7333,57.22,60,84,1.95,broken clouds
317,Bukachacha,RU,52.9833,116.9167,86.36,37,74,5.03,broken clouds
318,Taksimo,RU,56.3444,114.8794,74.91,64,100,2.98,overcast clouds
319,Port Moresby,PG,-9.4431,147.1797,85.42,70,40,11.5,haze
320,Norman Wells,CA,65.282,-126.8329,66.24,77,75,3.44,broken clouds
321,Asau,RO,46.4333,26.4,70.72,34,0,2.82,clear sky
322,Prince Rupert,CA,54.3161,-130.3201,56.89,90,0,16.11,clear sky
323,Cerknica,SI,45.7931,14.3625,76.3,56,38,8.99,scattered clouds
324,Hearst,CA,49.6835,-83.6665,59.25,96,47,7.23,scattered clouds
325,Luderitz,NA,-26.6481,15.1594,60.75,54,0,8.81,clear sky
326,Ahipara,NZ,-35.1667,173.1667,53.6,81,97,4.54,overcast clouds
327,Luganville,VU,-15.5333,167.1667,80.11,81,68,6.64,light rain
328,Tromso,NO,69.6496,18.957,55.38,87,75,8.05,broken clouds
329,Thabazimbi,ZA,-24.5917,27.4116,61.29,55,97,1.54,overcast clouds
330,Bereda,ES,43.2686,-7.5406,61.41,100,100,4.92,overcast clouds
331,Bolondron,CU,22.7633,-81.4469,75.4,93,66,5.55,broken clouds
332,Arawa,PG,-6.2132,155.5367,83.08,66,70,2.98,broken clouds
333,Bull Savanna,JM,17.8868,-77.5902,76.75,78,2,7.07,clear sky
334,Thompson,CA,55.7435,-97.8558,55.56,100,100,9.22,overcast clouds
335,Constantine,DZ,36.365,6.6147,72.81,64,0,2.3,clear sky
336,Ginda,IN,30.6945,78.4932,79.81,59,96,5.59,moderate rain
337,Pemangkat,ID,1.1667,108.9667,83.16,69,100,7.56,overcast clouds
338,Schweinfurt,DE,50.05,10.2333,69.6,77,1,3.0,clear sky
339,Tarauaca,BR,-8.1614,-70.7656,70.29,72,12,1.92,few clouds
340,Cantaura,VE,9.3057,-64.3584,73.92,91,93,10.63,overcast clouds
341,Chuy,UY,-33.6971,-53.4616,51.19,93,100,5.17,overcast clouds
342,Non Thai,TH,15.1981,102.0358,86.49,65,90,6.26,overcast clouds
343,Boa Vista,BR,2.8197,-60.6733,78.78,83,40,2.3,scattered clouds
344,Marsabit,KE,2.3284,37.9899,63.91,59,48,25.3,scattered clouds
345,Cidreira,BR,-30.1811,-50.2056,62.62,93,100,1.19,overcast clouds
